,FPR,FNR
0,0.29280070237050043,0.40130151843817785
1,0.25680421422300265,0.44251626898047725
2,0.10184372256365233,0.7310195227765727
3,0.09043020193151888,0.7592190889370932
4,0.1154521510096576,0.7006507592190889
5,0.24451273046532046,0.455531453362256
6,0.1453028972783143,0.6377440347071583
7,0.12115891132572432,0.6832971800433839
8,0.05794556628621598,0.8112798264642083
9,0.1865671641791045,0.5531453362255966
10,0.09394205443371378,0.7462039045553145
11,0.11984196663740122,0.6876355748373102
12,0.16022827041264268,0.6203904555314533
13,0.18217734855136083,0.5639913232104121
14,0.218612818261633,0.4945770065075922
15,0.24539069359086918,0.455531453362256
16,0.15935030728709393,0.6182212581344902
17,0.16549604916593502,0.6052060737527115
18,0.04214223002633889,0.8633405639913232
19,0.1874451273046532,0.559652928416486
20,0.1395961369622476,0.6507592190889371
21,0.12774363476733977,0.6702819956616052
22,0.2853380158033363,0.4164859002169197
23,0.11018437225636524,0.7180043383947939
24,0.1575943810359965,0.6160520607375272
25,0.1286215978928885,0.6681127982646421
26,0.233099209833187,0.48156182212581344
27,0.21905179982440737,0.49891540130151846
28,0.18129938542581212,0.5488069414316703
29,0.29982440737489024,0.39913232104121477
30,0.17295873573309922,0.5856832971800434
31,0.2989464442493415,0.3969631236442516
32,0.1646180860403863,0.6095444685466378
33,0.21202809482001755,0.5184381778741866
34,0.20851624231782265,0.5184381778741866
35,0.20017559262510976,0.5314533622559653
36,0.13652326602282705,0.6594360086767896
37,0.30201931518876207,0.3947939262472885
38,0.2712906057945566,0.42516268980477223
39,0.19051799824407376,0.5401301518438177
40,0.25065847234416155,0.4511930585683297
41,0.21949078138718173,0.4945770065075922
42,0.15583845478489902,0.6160520607375272
43,0.1865671641791045,0.5422993492407809
44,0.1575943810359965,0.613882863340564
45,0.15539947322212466,0.6268980477223427
46,0.20632133450395082,0.5184381778741866
47,0.1057945566286216,0.735357917570499
48,0.1681299385425812,0.5921908893709328
49,0.08955223880597014,0.7570498915401301
